Fartøy ID,Siste fangstdato,Lokasjon (kode),Lon (lokasjon),Lat (lokasjon),Art,Art - gruppe,Rundvekt,date
1988006009.0,20.09.2001,49.0,12.74275,67.64251,Sei,Sei,1508.0,2001-09-20
1997003841.0,30.05.2008,33.0,5.59752,62.21811,Hummer,"Andre skalldyr, bløtdyr og pigghuder",26.5,2008-05-30
1989005579.0,05.10.2001,24.0,15.47374,69.26583,Torsk,Torsk,39.0,2001-05-10
1986010772.0,04.03.2012,31.0,18.45225,69.80871,Torsk,Torsk,,2012-04-03
1987009204.0,13.03.2002,33.0,5.59752,62.21811,Lyr,Annen torskefisk,156.0,2002-03-13
1963005636.0,19.03.2004,10.0,13.41423,67.82298,Sei,Sei,16.2,2004-03-19
1987006261.0,04.11.2003,15.0,13.44548,68.29821,Lange,Annen torskefisk,21.0,2003-04-11
1986009688.0,14.08.2007,26.0,10.33143,63.3436,Lysing,Annen torskefisk,114.0,2007-08-14
1987012830.0,12.02.2011,4.0,12.33333,67.33333,Sei,Sei,48.6,2011-12-02
,09.11.2000,30.0,17.491,69.74206,Sei,Sei,10.8,2000-09-11
1995009266.0,25.11.2014,2.0,19.5,70.25,Torsk,Torsk,796.5,2014-11-25
1988004073.0,28.06.2017,18.0,5.5,63.25,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",8.8,2017-06-28
1989012369.0,04.08.2008,16.0,9.5,58.75,Dypvannsreke,Dypvannsreke,13.0,2008-04-08
1998012724.0,12.10.2017,12.0,8.49357,58.26584,Lyr,Annen torskefisk,0.0,2017-12-10
1975012256.0,09.11.2006,35.0,17.5,70.25,Sei,Sei,41.9,2006-09-11
1995004554.0,02.04.2015,3.0,11.5,67.25,Torsk,Torsk,1572.0,2015-02-04
,10.08.2006,3.0,45.0,72.5,Torsk,Torsk,0.0,2006-10-08
1993000759.0,03.06.2013,35.0,17.5,70.25,Lange,Annen torskefisk,2492.0,2013-03-06
1982011895.0,18.05.2001,26.0,25.37756,71.13554,Sei,Sei,20.3,2001-05-18
1997001626.0,02.05.2011,2.0,19.5,70.25,Brosme,Annen torskefisk,63.0,2011-02-05
1977010702.0,05.04.2005,30.0,17.491,69.74206,Torsk,Torsk,198.0,2005-05-04
1991007560.0,31.01.2007,46.0,14.56579,68.15924,Torsk,Torsk,460.5,2007-01-31
1987012805.0,12.02.2015,8.0,6.5,57.75,Torsk,Torsk,0.0,2015-12-02
1985011235.0,19.03.2010,30.0,17.491,69.74206,Sei,Sei,2.7,2010-03-19
2008043991.0,03.11.2011,20.0,10.5,59.25,Hvitting,Annen torskefisk,84.0,2011-03-11
2017095013.0,08.02.2021,17.0,10.5,58.75,Dypvannsreke,Dypvannsreke,20.0,2021-08-02
1999009104.0,27.02.2017,20.0,14.56401,68.75918,Torsk,Torsk,,2017-02-27
1986003853.0,21.11.2017,22.0,21.5,71.25,Torsk,Torsk,0.0,2017-11-21
1977009905.0,17.10.2009,8.0,8.4814,63.76938,"Taskekrabbe, hun-",Taskekrabbe,209.0,2009-10-17
1991009695.0,20.04.2021,18.0,11.56914,65.22203,Sei,Sei,101.25,2021-04-20
1988006611.0,01.03.2006,11.0,21.54827,70.73675,Torsk,Torsk,,2006-01-03
1999006048.0,26.01.2004,45.0,15.57921,67.93413,Brosme,Annen torskefisk,23.8,2004-01-26
1994001146.0,07.07.2004,12.0,8.49357,58.26584,Laks,Annen pelagisk fisk,13.5,2004-07-07
2000013505.0,06.03.2010,3.0,11.5,67.25,Torsk,Torsk,30.0,2010-06-03
1993000606.0,08.10.2013,27.0,11.5,66.25,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",40.5,2013-08-10
1994010738.0,01.04.2011,2.0,19.5,70.25,Sei,Sei,5.4,2011-01-04
2004029193.0,27.02.2008,16.0,9.5,58.75,Sei,Sei,4.8,2008-02-27
1995004384.0,12.11.2008,9.0,20.0,74.5,Steinbiter,Steinbiter,0.0,2008-12-11
2007039288.0,10.05.2018,13.0,3.5,59.25,Annen skate og rokke,Skater og annen bruskfisk,507.5,2018-10-05
1960012440.0,01.02.2001,16.0,9.5,58.75,Torsk,Torsk,10.6,2001-01-02
1997015904.0,08.08.2019,2.0,5.43607,58.72558,Breiflabb,"Annen flatfisk, bunnfisk og dypvannsfisk",19.6,2019-08-08
1999000863.0,07.12.2018,42.0,-0.5,59.75,Hyse,Hyse,140.22,2018-07-12
1987005777.0,16.03.2011,18.0,11.56914,65.22203,Torsk,Torsk,166.5,2011-03-16
2014064032.0,23.01.2019,11.0,21.54827,70.73675,Uer (vanlig),Uer,81.0,2019-01-23
2006035825.0,09.10.2006,30.0,17.491,69.74206,Hyse,Hyse,761.5,2006-09-10
,17.11.2010,42.0,16.01984,68.79785,Torsk,Torsk,3.0,2010-11-17
2014064112.0,14.01.2016,24.0,15.47374,69.26583,Torsk,Torsk,363.0,2016-01-14
1986002025.0,18.09.2009,24.0,25.53489,70.46517,"Kongekrabbe, hun-","Kongekrabbe, annen",940.0,2009-09-18
1992004299.0,10.04.2018,17.0,6.56095,58.25116,Lange,Annen torskefisk,1.2,2018-10-04
1993000816.0,13.04.2010,31.0,12.50313,66.74865,Sei,Sei,1201.5,2010-04-13
2014065952.0,17.05.2021,13.0,3.5,59.25,Skjellbrosme,Annen torskefisk,232.8,2021-05-17
1989009305.0,17.07.2001,4.0,4.5,61.75,Lysing,Annen torskefisk,2.4,2001-07-17
2007039729.0,06.12.2013,31.0,12.50313,66.74865,Hyse,Hyse,39.2,2013-06-12
2001015287.0,20.11.2007,22.0,2.5,54.75,Slettvar,"Annen flatfisk, bunnfisk og dypvannsfisk",30.8,2007-11-20
,11.01.2002,12.0,8.49357,58.26584,Gråsteinbit,Steinbiter,2.2,2002-11-01
,12.03.2000,46.0,14.56579,68.15924,Annen flyndre,"Annen flatfisk, bunnfisk og dypvannsfisk",4.4,2000-12-03
1989005420.0,26.03.2010,10.0,13.41423,67.82298,Torsk,Torsk,142.5,2010-03-26
1965012944.0,14.08.2002,1.0,5.5,58.25,Makrell,Makrell,100.0,2002-08-14
,01.03.2000,16.0,5.37624,59.23466,Dypvannsreke,Dypvannsreke,136.0,2000-01-03
,27.03.2000,24.0,15.47374,69.26583,Sei,Sei,48.6,2000-03-27
,04.04.2016,1.0,18.5,70.25,Torsk,Torsk,153.0,2016-04-04
2001015387.0,13.02.2007,28.0,19.89177,69.64928,Sei,Sei,5.4,2007-02-13
1986001380.0,16.10.2008,13.0,23.48981,70.7379,Torsk,Torsk,18.0,2008-10-16
1996001987.0,30.11.2005,2.0,29.74327,69.93406,Hyse,Hyse,171.0,2005-11-30
1981005649.0,06.10.2004,54.0,15.59004,67.05744,Sei,Sei,31.1,2004-06-10
1959012569.0,24.04.2002,20.0,10.5,59.25,Hvitting,Annen torskefisk,4.2,2002-04-24
1999012909.0,15.12.2010,16.0,9.5,58.75,Hyse,Hyse,1.1,2010-12-15
,08.07.2000,0.0,,,Sei,Sei,21.6,2000-08-07
,24.10.2006,16.0,5.37624,59.23466,Ål,"Annen flatfisk, bunnfisk og dypvannsfisk",8.0,2006-10-24
1984009965.0,24.08.2001,35.0,6.777,62.25527,"Taskekrabbe, hun-",Taskekrabbe,86.0,2001-08-24
2007039688.0,01.12.2020,20.0,10.5,59.25,Dypvannsreke,Dypvannsreke,0.5,2020-01-12
1978010742.0,03.02.2015,1.0,18.5,70.25,Torsk,Torsk,,2015-03-02
1990007750.0,17.12.2013,13.0,29.5,71.25,Torsk,Torsk,2362.5,2013-12-17
1986008002.0,08.03.2004,25.0,9.61139,63.78643,Hyse,Hyse,16.0,2004-08-03
1992005024.0,11.02.2004,10.0,13.41423,67.82298,Sei,Sei,239.0,2004-11-02
1996005097.0,15.08.2008,25.0,26.79157,70.49274,Kveite,"Annen flatfisk, bunnfisk og dypvannsfisk",91.3,2008-08-15
1998002662.0,19.04.2006,5.0,22.46289,70.33884,Brosme,Annen torskefisk,2.8,2006-04-19
